Query_Sequence	Database_EggNOG_Protein_Domains
TRINITY_DN2785_c1_g1_i1.p1	PSI
TRINITY_DN2785_c1_g1_i1.p1	Plexin_cytopl
TRINITY_DN2785_c1_g1_i1.p1	Sema
TRINITY_DN26714_c0_g1_i1.p1	C8
TRINITY_DN26714_c0_g1_i1.p1	TIL
TRINITY_DN26714_c0_g1_i1.p1	VWC
TRINITY_DN197_c0_g1_i17.p1	DUF4482
TRINITY_DN1903_c0_g1_i1.p1	RHS_repeat
TRINITY_DN4623_c0_g1_i43.p1	PDZ
TRINITY_DN4623_c0_g1_i43.p1	RA
TRINITY_DN4623_c0_g1_i43.p1	RasGEF
TRINITY_DN3970_c1_g1_i3.p1	ALO
TRINITY_DN3954_c2_g1_i1.p1	AMP-binding
TRINITY_DN3954_c2_g1_i16.p1	AMP-binding
TRINITY_DN3966_c0_g1_i3.p1	Glycos_transf_2
TRINITY_DN4023_c0_g1_i3.p1	Drf_FH3
TRINITY_DN4024_c0_g1_i6.p1	BACK
TRINITY_DN4024_c0_g1_i6.p1	BTB
TRINITY_DN4158_c0_g1_i12.p1	Glyco_hydro_2_C
TRINITY_DN79621_c0_g2_i1.p1	HMG_box
TRINITY_DN4176_c0_g1_i3.p1	A2M
TRINITY_DN4176_c0_g1_i3.p1	A2M_N
TRINITY_DN4176_c0_g1_i3.p1	A2M_N_2
TRINITY_DN4176_c0_g1_i3.p1	A2M_comp
TRINITY_DN4176_c0_g1_i3.p1	A2M_recep
TRINITY_DN10349_c0_g1_i9.p1	BACK
TRINITY_DN10349_c0_g1_i9.p1	BTB
TRINITY_DN4218_c0_g1_i56.p1	AXIN1_TNKS_BD
TRINITY_DN4218_c0_g1_i56.p1	Axin_b-cat_bind
TRINITY_DN4218_c0_g1_i56.p1	DIX
TRINITY_DN4251_c0_g1_i1.p1	NTF2
TRINITY_DN42281_c0_g2_i2.p1	DEAD
TRINITY_DN42_c1_g2_i3.p1	HEAT_2
TRINITY_DN209_c0_g2_i1.p1	Cyclin_C
TRINITY_DN18858_c0_g1_i3.p1	SCP2
TRINITY_DN18858_c0_g1_i3.p1	Thiolase_C
TRINITY_DN4417_c1_g1_i1.p1	Ribosomal_L23
TRINITY_DN4419_c0_g1_i11.p1	Choline_transpo
TRINITY_DN4419_c0_g1_i11.p1	RVT_1
TRINITY_DN45890_c0_g1_i35.p1	HECT
TRINITY_DN45890_c0_g1_i35.p1	MIB_HERC2
TRINITY_DN45890_c0_g1_i35.p1	N_BRCA1_IG
TRINITY_DN45890_c0_g1_i35.p1	PB1
TRINITY_DN4669_c2_g2_i2.p1	RRM_1
TRINITY_DN7759_c0_g2_i1.p1	C1_1
TRINITY_DN7759_c0_g2_i1.p1	PB1
TRINITY_DN7759_c0_g2_i1.p1	Pkinase
TRINITY_DN4807_c0_g1_i2.p1	LRRNT
